Plant,Location,Q,ZN,PH,DBO,DQO,SS,SSV,SED,COND
D-4/6/90,E,51520,2.00,7.3,156,336,192,62.5,5.5,1320
D-5/6/90,E,39421,1.00,7.9,189,457,1004,25.5,24,1218
D-6/6/90,E,36131,1.00,7.9,215,500,252,61.9,4.7,1512
D-7/6/90,E,33251,1.00,7.6,225,578,256,65.6,5.5,1510
D-8/6/90,E,35789,1.50,7.4,316,533,264,54.5,5.5,1361
D-10/6/90,E,40106,0.60,7.8,238,504,292,58.9,6.5,1109
D-11/6/90,E,45191,2.00,8.0,125,324,362,35.9,5.0,1093
D-12/6/90,E,43308,1.40,7.9,265,330,562,27.4,7.5,1866
D-13/6/90,E,37615,1.20,7.8,199,404,232,53.4,5.0,1310
D-14/6/90,E,42596,3.00,7.7,138,259,456,22.8,4.0,1007
D-15/6/90,E,41948,1.50,7.7,198,396,216,52.8,3.0,1282
D-17/6/90,E,34647,1.00,7.5,193,342,260,50.8,3.0,985
D-18/6/90,E,36967,1.00,7.6,202,426,248,80.6,5.5,2310
D-19/6/90,E,34879,1.0,7.5,319,465,214,63.6,5.5,1308
D-20/6/90,E,34365,6.00,7.6,236,444,236,62.7,4.9,1400
D-21/6/90,E,34291,8.00,7.9,192,433,300,57.3,7.0,1395
D-22/6/90,E,34886,8.00,7.7,211,488,268,53.7,5.8,1212
D-24/6/90,E,38731,1.20,7.5,200,402,184,64.1,2.8,1127
D-25/6/90,E,39308,3.00,7.8,217,349,172,69.8,3.5,1454
D-26/6/90,E,44198,7.00,7.7,257,667,1016,31.5,22,1478
D-27/6/90,E,39003,1.20,7.8,183,456,232,65.5,5.0,1262
D-28/6/90,E,34487,0.70,7.9,183,380,192,62.5,4.5,1339
D-29/6/90,E,35198,0.80,7.7,185,372,164,61.0,3.0,1623
D-1/5/90,E,27617,1.00,7.6,285,436,218,67.9,6.0,1095
D-2/5/90,E,37881,3.00,7.7,257,588,328,60.4,7.0,1392
D-3/5/90,E,39024,1.20,7.9,268,467,224,66.1,6.5,1409
D-4/5/90,E,38990,1.40,7.8,189,357,172,67.4,4.0,1160
D-6/5/90,E,37710,3.00,7.5,312,388,204,61.8,4.0,1026
D-7/5/90,E,25957,0.60,8.1,404,455,448,38.4,5.0,1229
D-8/5/90,E,38623,1.50,8.1,243,299,180,54.4,2.5,1615
D-9/5/90,E,41746,1.00,8.0,352,471,208,65.4,5.5,2150
D-10/5/90,E,43291,0.80,7.7,215,447,164,61.0,5.5,1177
D-11/5/90,E,41436,1.20,7.9,191,356,192,62.5,7.0,1434
D-13/5/90,E,39402,1.20,7.9,283,274,162,59.3,3.0,937
D-14/5/90,E,39383,0.60,8.0,216,529,248,61.3,6.3,1179
D-15/5/90,E,37106,0.70,7.8,163,468,202,57.4,4.5,1525
D-16/5/90,E,36591,1.20,7.8,,499,248,56.5,6.5,1213
D-17/5/90,E,33711,2.50,8.0,345,457,288,59.7,7.5,1272
D-18/5/90,E,35081,0.80,7.7,431,532,210,65.7,5.0,1535
D-20/5/90,E,32372,1.50,7.8,174,404,192,63.5,3.5,1056
D-21/5/90,E,37283,2.00,7.7,327,376,184,57.6,4.0,1226
D-22/5/90,E,42202,1.00,7.6,184,238,316,30.4,3.0,1079
D-23/5/90,E,50942,3.00,7.8,159,234,292,32.9,3.0,1140
D-24/5/90,E,44040,1.00,7.9,275,330,180,55.6,3.0,1376
D-25/5/90,E,43117,1.20,8.4,134,302,208,57.7,3.3,1160
D-27/5/90,E,48333,0.70,7.6,132,188,172,46.5,2.5,940
D-28/5/90,E,46540,1.20,7.8,132,297,176,45.5,1.5,1140
D-29/5/90,E,46057,1.00,8.1,133,288,162,56.8,2.3,1050
D-30/5/90,E,45018,2.00,7.9,224,488,456,48.2,11,1147
D-1/4/90,E,40552,2.00,7.9,200,395,178,71.9,3.5,1038
D-2/4/90,E,53210,5.00,7.8,87,241,236,38.1,4.0,1179
D-3/4/90,E,53530,1.50,8.1,132,336,330,37.0,6.0,1234
D-4/4/90,E,46659,2.00,7.7,175,321,176,58.0,3.5,1335
D-5/4/90,E,45772,2.00,7.9,162,348,156,64.1,3.1,1340
D-6/4/90,E,52933,1.75,7.9,135,317,180,53.5,3.5,1362
D-8/4/90,E,36510,1.50,7.9,91,325,122,77.0,3.5,1026
D-9/4/90,E,34299,3.00,7.8,210,725,350,41.7,5.0,1265
D-10/4/90,E,41073,0.80,8.1,166,422,184,63.0,3.0,1450
D-11/4/90,E,43536,2.50,7.8,267,342,202,58.4,2.0,1327
D-13/4/90,E,34667,6.00,7.2,165,315,170,64.7,,1125
D-16/4/90,E,29624,1.40,7.5,184,219,148,62.2,3.0,1530
D-17/4/90,E,34069,1.20,7.5,89,298,116,68.9,2.0,1119
D-18/4/90,E,37782,1.20,8.1,155,382,174,66.7,7.0,1205
D-19/4/90,E,42109,0.70,7.8,159,350,150,69.3,3.0,1304
D-20/4/90,E,40871,0.70,7.7,193,298,120,60.0,3.0,1068
D-22/4/90,E,36088,15,7.5,75,133,142,39.4,2.0,860
D-23/4/90,E,47255,0.60,7.7,181,264,124,61.3,2.6,1087
D-24/4/90,E,55300,1.50,7.9,254,356,206,56.3,4.0,1300
D-25/4/90,E,37646,1.00,7.8,355,556,184,50.0,3.3,1278
D-26/4/90,E,34528,1.00,7.9,262,444,324,48.1,6.5,1319
D-27/4/90,E,31417,3.00,7.8,237,549,236,71.2,4.0,1397
D-29/4/90,E,27333,2.00,7.6,238,348,174,64.4,3.5,1110
D-1/7/90,E,30201,1.00,7.3,137,398,188,57.4,4.0,1179
D-2/7/90,E,39445,0.75,8.1,187,488,216,55.6,6.5,2440
D-3/7/90,E,37252,3.50,7.6,131,436,476,27.7,4.5,1603
D-4/7/90,E,37643,1.25,7.7,145,382,168,54.8,3.5,1814
D-5/7/90,E,36389,0.90,7.7,156,391,156,53.8,3.5,1358
D-6/7/90,E,33020,0.80,7.7,176,422,176,61.4,4.0,2200
D-8/7/90,E,36095,4.50,7.5,112,341,256,46.9,4.2,2070
D-9/7/90,E,39590,5.00,7.8,144,361,220,53.6,4.5,1790
D-10/7/90,E,42859,12.5,7.8,161,326,268,44.8,4.5,1570
D-11/7/90,E,36325,2.50,7.7,135,304,222,46.8,3.5,1087
D-12/7/90,E,33522,2.50,7.7,189,416,248,58.1,5.5,1330
D-13/7/90,E,33680,1.75,7.6,215,532,282,63.8,5.3,1444
D-15/7/90,E,31293,1.00,7.7,150,337,182,,3.0,1189
D-16/7/90,E,36010,1.00,7.9,189,424,264,55.3,4.0,2270
D-17/7/90,E,35445,2.50,7.9,182,388,272,43.4,3.5,1704
D-18/7/90,E,32540,1.00,7.7,290,566,352,52.8,8.0,2540
D-19/7/90,E,32929,1.20,7.8,246,641,376,56.4,6.0,1683
D-20/7/90,E,32575,2.00,7.7,244,607,380,53.7,6.0,2160
D-22/7/90,E,30019,4.50,7.6,175,416,224,51.8,4.5,1463
D-23/7/90,E,27711,1.50,7.4,342,400,232,64.7,4.5,1858
D-24/7/90,E,33999,1.50,7.5,191,488,506,35.6,6.3,2590
D-25/7/90,E,33959,2.00,7.7,235,614,692,29.5,8.0,1589
D-26/7/90,E,33290,1.00,7.7,128,392,236,59.3,3.2,2100
D-27/7/90,E,33877,1.50,7.6,166,452,320,46.3,4.5,1160
D-29/7/90,E,26871,2.00,7.3,139,369,284,49.3,4.0,991
D-30/7/90,E,37634,2.00,8.1,151,,268,47.8,3.5,1732
D-31/7/90,E,32909,0.40,7.5,221,391,260,46.2,4.3,2140
D-2/9/90,E,44601,1.70,7.5,140,231,360,,4.0,806
D-3/9/90,E,43614,6.50,7.8,143,400,472,,6.5,2230
D-4/9/90,E,40529,4.50,7.7,192,253,186,,5.0,1818
D-5/9/90,E,38231,0.80,7.7,124,234,120,,1.8,1550
D-6/9/90,E,36909,1.30,7.6,172,394,226,51.3,5.5,1324
D-7/9/90,E,37002,1.70,7.6,268,324,226,53.1,4.0,1390
D-9/9/90,E,43377,6.50,7.6,176,200,176,50.0,3.0,859
D-11/9/90,E,37862,5.00,7.6,146,243,164,57.3,3.2,1095
D-12/9/90,E,35809,5.00,7.8,139,380,256,53.1,5.5,2040
D-13/9/90,E,35729,2.50,7.9,205,529,264,61.4,6.5,2750
D-14/9/90,E,41206,3.30,7.8,117,366,500,27.2,4.2,3230
D-16/9/90,E,15519,3.60,7.6,148,400,564,31.6,7.0,1554
D-17/9/90,E,49986,2.71,7.8,158,256,194,47.4,3.0,1831
D-18/9/90,E,51575,2.42,7.7,123,246,186,39.8,2.5,1288
D-19/9/90,E,44869,0.90,7.7,133,410,204,62.7,4.5,1490
D-20/9/90,E,43491,1.00,7.5,237,388,178,57.3,4.0,1620
D-21/9/90,E,45453,1.60,7.7,203,357,222,58.6,3.0,1828
D-23/9/90,E,37190,1.14,7.8,199,380,244,55.7,5.0,1453
D-24/9/90,E,40067,3.40,7.8,214,941,304,53.3,6.5,1454
D-25/9/90,E,57606,5.35,7.7,208,298,260,37.7,4.0,1236
D-26/9/90,E,46791,2.20,7.9,206,305,188,56.4,4.0,1200
D-27/9/90,E,46852,,7.7,247,361,286,51.0,4.5,1180
D-28/9/90,E,38761,4.00,7.5,438,681,370,56.8,6.0,1396
D-30/9/90,E,42046,1.95,7.8,255,282,166,67.5,2.0,950
D-1/8/90,E,33322,0.40,7.6,217,315,400,59.0,3.5,2080
D-2/8/90,E,10050,0.40,7.6,208,556,210,52.4,4.0,2340
D-3/8/90,E,55930,1.20,7.8,223,459,364,45.6,5.5,2220
D-5/8/90,E,52851,0.30,8.1,64,161,172,40.7,2.0,1350
D-6/8/90,E,40585,0.35,8.0,66,152,364,20.3,1.6,1403
D-7/8/90,E,45027,2.50,7.7,48,156,242,25.6,1.4,1400
D-8/8/90,E,47338,2.00,8.1,69,126,138,39.1,1.4,882
D-9/8/90,E,44207,1.20,7.8,70,188,112,48.2,1.3,1031
D-10/8/90,E,43563,1.00,7.8,95,206,132,43.9,1.5,828
D-12/8/90,E,47718,0.70,7.8,31,81,208,20.2,0.8,715
D-13/8/90,E,42587,2.00,7.8,77,256,248,30.6,2.5,910
D-15/8/90,E,35098,0.80,7.8,100,256,234,37.6,2.5,993
D-16/8/90,E,38052,0.80,7.6,94,409,194,57.7,2.5,997
D-17/8/90,E,31404,0.80,8.0,,321,160,67.5,2.5,1096
D-19/8/90,E,38905,0.30,7.7,58,197,130,64.6,2.0,1135
D-20/8/90,E,38620,0.70,7.5,95,302,176,59.1,3.0,1120
D-21/8/90,E,34352,0.27,7.4,112,470,172,65.1,4.5,1207
D-22/8/90,E,34785,1.00,7.5,126,397,188,67.0,5.0,1950
D-23/8/90,E,27109,0.40,7.6,158,276,142,64.8,1.5,1939
D-24/8/90,E,32802,0.70,7.3,203,405,212,67.9,4.5,1922
D-25/8/90,E,35876,0.50,7.9,81,448,296,,,1315
D-27/8/90,E,41410,0.60,7.9,85,269,110,,1.5,1342
D-28/8/90,E,40933,1.50,7.8,120,303,290,,4.5,1818
D-29/8/90,E,34764,0.90,7.5,127,284,188,,2.8,2260
D-30/8/90,E,39489,0.90,7.8,131,320,166,,2.5,1680
D-31/8/90,E,42230,0.70,8.1,132,288,144,,1.3,1581
D-2/12/90,E,29388,0.83,8.2,339,713,356,72.5,10,2170
D-3/12/90,E,30935,2.00,8.1,255,550,214,69.2,5.5,1919
D-4/12/90,E,26348,1.00,8.1,253,473,212,79.3,7.0,1990
D-6/12/90,E,28680,1.70,8.1,256,539,188,74.5,4.7,1803
D-7/12/90,E,32799,5.90,8.4,215,440,190,69.5,,1380
D-9/12/90,E,33545,1.30,8.2,145,747,310,55.5,6.0,1059
D-10/12/90,E,28791,1.09,8.7,354,539,232,68.1,5.5,1620
D-11/12/90,E,27219,1.50,8.3,302,566,212,69.8,5.7,2270
D-12/12/90,E,31849,5.45,8.0,330,511,184,79.3,4.0,2110
D-13/12/90,E,30352,5.90,8.2,324,539,196,77.6,4.5,2090
D-14/12/90,E,32009,2.87,8.1,288,459,216,73.2,,1755
D-16/12/90,E,34492,0.40,7.9,253,354,162,76.5,3.5,1443
D-17/12/90,E,36452,0.47,8.2,154,310,128,71.9,3.0,1520
D-18/12/90,E,34361,1.20,8.2,172,345,152,73.7,4.3,1552
D-19/12/90,E,36432,18.2,8.1,168,334,196,65.3,7.0,2230
D-20/12/90,E,37009,1.50,8.3,181,348,184,84.8,4.5,1337
D-21/12/90,E,37281,1.50,8.1,287,484,308,76.6,5.8,1653
D-23/12/90,E,28437,1.02,7.9,176,387,162,75.3,3.8,1344
D-24/12/90,E,29955,0.90,7.6,203,301,146,68.5,,1299
D-26/12/90,E,35263,0.30,8.0,201,434,118,73.0,5.0,1727
D-27/12/90,E,34319,0.50,8.1,236,448,178,76.4,5.0,1325
D-28/12/90,E,32730,0.96,7.8,290,376,146,83.6,,1441
D-30/12/90,E,30164,0.53,7.9,232,503,194,78.4,6.0,1200
D-1/11/90,E,45006,5.20,8.0,,182,134,61.2,2.5,1007
D-2/11/90,E,44158,8.10,8.0,124,463,230,47.8,,1599
D-4/11/90,E,39223,1.80,8.1,151,294,186,57.0,4.0,1006
D-5/11/90,E,42394,1.51,8.2,241,688,270,53.3,4.5,1566
D-6/11/90,E,44364,2.50,8.0,182,364,154,68.8,3.0,1672
D-7/11/90,E,44235,1.90,7.9,195,428,210,69.5,6.5,1835
D-8/11/90,E,45151,1.70,8.3,185,457,184,69.6,4.0,1944
D-9/11/90,E,47032,1.50,8.2,139,294,256,40.6,3.0,1456
D-11/11/90,E,41372,1.58,7.8,119,220,128,62.5,1.5,1444
D-12/11/90,E,45729,4.50,8.2,139,263,144,61.1,1.5,1665
D-13/11/90,E,49314,2.30,8.1,166,318,118,55.9,2.5,1820
D-14/11/90,E,44038,0.43,8.0,138,304,136,66.2,2.5,2050
D-15/11/90,E,29816,0.48,8.5,251,447,152,65.8,3.3,1770
D-16/11/90,E,29448,0.13,8.2,192,357,286,79.0,,2950
D-18/11/90,E,35825,1.40,8.0,111,371,142,73.2,4.5,1440
D-19/11/90,E,47384,0.80,8.2,147,224,146,65.8,4.0,1758
D-20/11/90,E,47306,0.14,8.2,206,324,166,63.9,3.5,1782
D-21/11/90,E,40127,7.90,8.1,233,456,214,67.3,6.0,1586
D-22/11/90,E,28005,3.45,8.2,226,419,178,70.8,4.5,2210
D-23/11/90,E,28819,2.24,8.4,195,392,188,70.2,4.0,2790
D-25/11/90,E,27098,2.12,8.2,197,497,254,73.2,6.5,1685
D-26/11/90,E,42667,2.70,8.3,173,427,208,71.2,5.5,1979
D-27/11/90,E,47222,2.21,8.1,148,321,142,73.2,3.0,1681
D-28/11/90,E,32157,0.60,8.1,243,572,200,78.0,4.5,2280
D-29/11/90,E,25687,1.23,8.2,316,743,280,72.1,6.5,2390
D-30/11/90,E,26040,2.10,8.1,302,702,244,75.4,8.5,2480
D-1/10/90,E,47623,3.40,7.7,283,310,170,61.2,2.5,1065
D-2/10/90,E,54578,3.60,7.9,313,341,512,33.6,6.0,915
D-3/10/90,E,36911,6.00,7.7,300,610,452,45.1,8.0,1313
D-4/10/90,E,35244,6.00,7.8,177,412,196,69.4,4.5,2190
D-5/10/90,E,39566,5.80,7.7,192,416,236,57.6,4.5,1447
D-7/10/90,E,45469,1.97,7.3,129,237,234,38.5,1.5,1190
D-8/10/90,E,46240,2.70,7.9,122,287,168,50.0,2.0,1906
D-9/10/90,E,45903,1.30,8.0,90,271,144,66.7,4.5,1221
D-10/10/90,E,44343,1.25,8.0,169,327,126,68.3,2.5,1940
D-12/10/90,E,39343,4.80,8.0,140,555,282,45.4,6.5,850
D-14/10/90,E,34347,0.80,7.9,155,243,210,47.6,2.5,848
D-15/10/90,E,53012,3.50,8.2,157,361,208,51.0,5.0,1015
D-16/10/90,E,52258,1.50,8.4,195,246,172,60.5,3.5,1631
D-17/10/90,E,49493,3.70,8.1,102,269,156,52.6,2.5,1082
D-18/10/90,E,46200,2.50,8.3,192,294,172,55.8,3.5,1983
D-19/10/90,E,46069,6.00,8.2,185,334,156,60.3,4.0,1987
D-21/10/90,E,44324,1.60,7.8,174,173,134,68.7,2.5,967
D-22/10/90,E,48950,2.50,8.1,109,211,880,13.2,5.5,1745
D-23/10/90,E,60017,3.50,7.9,120,284,518,17.8,4.0,1048
D-24/10/90,E,41569,3.30,7.9,115,357,334,33.5,3.5,1760
D-25/10/90,E,40915,2.00,8.0,244,,194,50.5,3.2,1885
D-26/10/90,E,44858,1.41,8.1,380,318,194,55.7,2.7,1970
D-28/10/90,E,47576,5.97,8.1,,188,128,67.2,2.0,1465
D-29/10/90,E,47501,1.00,8.2,,384,180,64.4,3.5,1567
D-30/10/90,E,47506,0.50,8.0,,307,196,60.2,4.0,1557
D-1/3/91,E,26343,2.07,7.7,275,553,528,43.9,7.0,1105
D-3/3/91,E,32884,0.80,7.8,169,337,132,75.8,2.5,1568
D-4/3/91,E,40745,1.50,7.7,156,547,166,66.3,6.0,1667
D-5/3/91,E,39804,4.85,7.9,209,416,196,68.4,5.0,1711
D-6/3/91,E,45804,2.20,7.9,170,380,146,79.5,4.5,1949
D-7/3/91,E,42289,3.30,7.7,150,289,182,73.6,2.5,1698
D-8/3/91,E,44548,1.40,7.9,218,272,216,40.7,,1360
D-10/3/91,E,36792,0.70,7.9,168,303,148,66.2,2.5,1069
D-11/3/91,E,36410,1.60,8.0,173,396,242,57.0,6.8,1879
D-12/3/91,E,33988,2.50,7.8,161,391,148,73.0,4.5,1551
D-13/3/91,E,36479,3.80,8.1,192,422,176,68.2,4.5,2080
D-14/3/91,E,31592,4.70,8.0,217,549,248,67.7,7.0,1370
D-15/3/91,E,31789,2.10,7.9,215,549,234,71.8,5.5,2370
D-17/3/91,E,27968,1.60,8.0,202,471,242,63.6,5.5,1158
D-18/3/91,E,30853,1.24,8.0,179,455,168,70.2,4.3,1410
D-19/3/91,E,29815,0.98,8.0,224,400,160,68.8,4.5,2230
D-20/3/91,E,32578,2.50,7.8,223,443,184,69.6,4.0,1553
D-21/3/91,E,33784,1.00,7.9,166,392,186,64.5,7.5,2510
D-22/3/91,E,33029,3.40,7.9,226,624,264,75.0,,2150
D-24/3/91,E,48657,1.70,7.7,72,180,122,49.2,2.5,990
D-25/3/91,E,45512,2.60,7.9,89,176,166,36.1,1.2,1059
D-26/3/91,E,44085,4.20,7.4,183,325,228,47.4,3.5,1229
D-27/3/91,E,40578,3.28,7.9,174,,160,67.5,3.1,1433
D-29/3/91,E,34917,8.50,7.5,156,311,226,67.3,,1075
D-31/3/91,E,32217,2.00,7.7,365,370,172,62.8,,928
D-1/2/91,E,38105,1.56,8.4,230,517,218,75.2,5.0,1645
D-3/2/91,E,30701,0.62,8.1,136,447,196,60.2,4.5,1105
D-4/2/91,E,34290,3.03,8.1,194,435,166,72.3,4.0,1770
D-5/2/91,E,35338,3.20,8.0,195,574,166,69.9,4.9,1563
D-6/2/91,E,37120,2.57,8.0,212,546,184,72.8,4.5,2240
D-7/2/91,E,35190,10,8.1,227,812,350,59.4,0.7,1512
D-8/2/91,E,33714,2.65,8.4,228,473,200,74.0,,1542
D-10/2/91,E,29660,1.99,8.0,223,521,208,74.0,5.3,1585
D-11/2/91,E,31749,10.7,8.1,247,525,264,71.2,6.3,1606
D-12/2/91,E,32736,5.30,8.2,257,629,312,71.8,7.5,1823
D-13/2/91,E,34441,8.20,8.1,199,486,240,68.3,9.0,1605
D-14/2/91,E,32888,6.25,8.1,185,401,156,79.5,4.0,1513
D-15/2/91,E,34461,6.20,8.1,222,662,252,68.3,6.5,1734
D-17/2/91,E,34045,1.32,8.0,129,506,178,62.9,4.0,1180
D-18/2/91,E,36421,2.98,8.2,240,507,356,60.7,9.0,1672
D-19/2/91,E,37662,2.60,8.1,238,490,170,70.6,5.0,1652
D-21/2/91,E,29990,7.60,7.9,204,469,212,75.5,5.0,1145
D-22/2/91,E,37561,12.5,7.5,,,196,72.5,,1245
D-24/2/91,E,27340,4.19,7.7,254,411,174,73.6,4.5,1339
D-25/2/91,E,30055,5.70,7.8,230,422,222,71.2,5.0,1733
D-26/2/91,E,31494,2.50,8.0,290,459,228,71.9,7.5,1684
D-27/2/91,E,31765,2.00,7.9,240,887,314,76.4,7.0,2120
D-28/2/91,E,25342,2.00,8.3,275,494,212,78.3,4.5,2070
D-1/1/91,E,32441,0.80,8.1,198,351,134,76.1,2.5,1341
D-2/1/91,E,40740,1.20,8.2,127,444,172,73.3,3.0,1658
D-3/1/91,E,34637,3.50,8.1,231,368,162,76.5,4.0,1854
D-4/1/91,E,34322,3.00,8.4,249,600,216,77.8,5.0,1566
D-6/1/91,E,35111,0.50,7.9,228,461,126,74.6,2.5,1113
D-7/1/91,E,40585,0.80,8.3,230,524,158,70.9,5.0,1178
D-8/1/91,E,37735,1.67,7.9,203,487,168,77.4,3.5,1353
D-9/1/91,E,34277,1.50,8.2,133,531,220,73.6,7.0,1514
D-10/1/91,E,41451,0.50,8.0,131,384,154,74.0,4.5,1260
D-11/1/91,E,45183,0.40,7.8,205,347,142,67.6,,1373
D-13/1/91,E,27415,0.90,7.7,241,332,158,65.8,4.0,1133
D-14/1/91,E,42614,0.35,8.3,113,347,120,71.7,2.5,1385
D-15/1/91,E,48914,0.35,8.1,203,434,128,70.3,4.0,1496
D-16/1/91,E,49174,0.65,7.9,188,434,126,66.7,2.5,2450
D-17/1/91,E,45151,0.50,8.2,166,307,118,79.7,4.0,1697
D-18/1/91,E,37143,0.70,8.2,222,493,162,75.3,5.3,1620
D-20/1/91,E,30244,0.86,7.6,224,337,146,69.9,3.5,1146
D-21/1/91,E,34032,1.00,8.2,223,470,166,72.3,5.5,1343
D-22/1/91,E,34904,1.20,8.0,272,665,188,73.4,6.0,2200
D-23/1/91,E,36063,1.00,8.2,346,350,144,72.2,5.0,1233
D-24/1/91,E,35500,2.70,8.2,148,545,188,76.6,5.3,1329
D-25/1/91,E,37730,0.70,8.0,427,815,204,70.6,,1455
